Key,Roastery,"Roastery City","Roastery Country",Name,Country,Region,Farm,Processing,"Altitude min","Altitude max","Price (EUR per kg)",Roast,Score,Variety,Profile
87,"Back to Black",Amsterdam,Netherlands,"Susy Leon & Wilfrido Requijo",Peru,"Huabal, El Huaco in Cajamarca, Jaen","Santos Flores Cordova",Washed,1860,1860,42.35,filter,,"caturra, pache","tropical fruit, honey, rose"
88,"Back to Black",Amsterdam,Netherlands,"Susy Leon & Wilfrido Requijo",Peru,"Huabal, El Huaco in Cajamarca, Jaen","Santos Flores Cordova",Washed,1860,1860,42.35,espresso,,"caturra, pache","tropical fruit, honey, rose"
89,"Balck Coffee",Kalmar,Sweden,Geisha,"Costa Rica",Chirripo,"Cafe Rivense",Natural,,,71.90,filter,,geisha,"plum, blueberry, rose"
90,"Balck Coffee",Kalmar,Sweden,Java,Nicaragua,Datanlí,"Finca la Virgen","Fully Washed",,,47.87,filter,,java,"brioche, dates, nut cream"
91,"Balck Coffee",Kalmar,Sweden,"Velo Collective",Brazil,"Pocos de Caldas","Velo Collective",Natural,,,38.84,"filter, espresso",,"mundo novo","chocolate, butterscotch"
92,"Balck Coffee",Kalmar,Sweden,"Balck Honey","Costa Rica",Chirripo,"Cafe Rivense",Honey,,,46.07,filter,,"red catuai","blackberry jam, passion fruit, dried mango"
93,"Balck Coffee",Kalmar,Sweden,"El Desafío","Costa Rica",Chirripo,"Cafe Rivense",Natural,,,46.07,filter,,"villa sarchi","roasted almonds, strawberry"
94,"Balck Coffee",Kalmar,Sweden,"Las Torres","Costa Rica",Chirripo,"Cafe Rivense",Honey,,,46.07,filter,,"yellow catuai","molasses, clementine"
95,"Balck Coffee",Kalmar,Sweden,Ureña,"Costa Rica",Chirripo,"Cafe Rivense","Black Honey",,,46.07,"filter, espresso",,"yellow catuai","honey, dark chocolate, plum"
96,"Balck Coffee",Kalmar,Sweden,Ayla,Ethiopia,Siadamo,Faysel,Washed,1950,2150,46.07,filter,,"heirloom, heirloom","peach, jasmine, sugarcane"
97,"Balck Coffee",Kalmar,Sweden,Gersi,Ethiopia,Yirgacheffe,Adorsi,Natural,2000,2000,46.07,filter,,"heirloom, heirloom, heirloom","fruit, dark chocolate"
98,"Bear Market Coffee",Dublin,Ireland,"Estrada Royal",Brazil,"Campo das Vertentes","Estrada Royal","Natural & Fermentation",960,1040,40,espresso,90.46,"acaia, yellow catuai, mundo novo, red catuai, arara","praline, pecan, caramel, nuts"
99,"Bear Market Coffee",Dublin,Ireland,Karambi,Rwanda,"Western Province","Karambi Washing Station","Fully Washed",1700,2000,40,espresso,,bourbon,"brown sugar, toffee, red apple"
100,"Bear Market Coffee",Dublin,Ireland,"El Embrujo",Colombia,"Anserma, Caldas","Finca La Palmera","Natural, Wet Fermentation 72 hours",1450,1900,56,filter,,"castillo, colombia","strawberry, kiwi, dark chocolate"
101,"Bear Market Coffee",Dublin,Ireland,"El Manzano","El Salvador",,"El Manzano",Natural,1350,1550,54,espresso,,bourbon,"toffee, red apple"
102,"Bear Market Coffee",Dublin,Ireland,Chelbesa,Ethiopia,Gedeb,Chelbesa,"Fully washed, Wet Fermentation 72 hours",2100,2100,56,filter,,"heirloom, heirloom","peach, earl grey tea"
103,"Bear Market Coffee",Dublin,Ireland,"Ichuga Nyeri",Kenya,Nyeri,"Ichuga Station","Fully Washed",1700,1700,60,filter,,"ruiru 11, sl28, sl34","chocolate, shortbread cookies, blueberry"
104,"Belga & Co",Bornem,Belgium,"Fazenda Vila Boa",Brazil,"Minas Gerais","Fazenda Vila Boa",Natural,970,1208,38.90,espresso,,topazio,"dark chocolate, strawberry, almond"
105,"Belga & Co",Bornem,Belgium,"AB Kaiguri #101",Kenya,Nyeri,"Mutheka Farmers’ Cooperative Society",Washed,1800,1800,66,filter,,"sl34, batian, sl28, ruiru 11","fruit, black currant jam"
106,"Belga & Co",Bornem,Belgium,"Finca Los Pirineos",Nicaragua,"Dipilto, Nueva Segovia","Finca Los Pirineos",Honey,1250,1450,58,espresso,90.21,caturra,"cane sugar, caramel, cookie"
107,"BEN RAHIM",Berlin,Germany,Sophien,Brazil,"Minas Gerais","Fazenda Serrinha",Natural,,,54.03,filter,,"red catuai","yellow fruit, milk chocolate, praline"
108,"BEN RAHIM",Berlin,Germany,"Karimikui AA",Kenya,Kirinyaga,"Karimikui Coffee Factory",Washed,1650,1650,97.46,filter,,"sl28, sl34","blackcurrant, blackberry, cherry"
109,"BEN RAHIM",Berlin,Germany,"Puerto Arturo","El Salvador","Apaneca, Ahuachapan","Puerto Arturo","Natural, 48 hours maceration",1500,1500,74.85,filter,,"orange bourbon","mandarin, white flower, chocolate"
110,"BEN RAHIM",Berlin,Germany,"Halwa Shop","El Salvador","Cerro El Aguila, Santa Ana","Finca El Salvador",Washed,1500,1640,66.52,espresso,,"red bourbon","red apple, caramel, yellow peach"
